run_id,experiment_name,model_label,context,column_name,source_column_name,accuracy_incl_empty,precision_macro_incl_empty,recall_macro_incl_empty,f1_macro_incl_empty,accuracy_excl_empty,precision_macro_excl_empty,recall_macro_excl_empty,f1_macro_excl_empty,hallucination_rate,omission_rate,hallucination_count,omission_count,empty_empty_count,error_total,error_whitespace_only,error_case_only,error_whitespace_and_case,error_genuine,display_label,model_family
0ba7ba21,dou_harmonization_bdikit-tools_kimi-k2.5,moonshotai/kimi-k2.5,bdikit_context,ethnicity,Ethnicity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,41,0,0,0,0,0,moonshotai/kimi-k2.5 | bdikit_context,frontier
0ba7ba21,dou_harmonization_bdikit-tools_kimi-k2.5,moonshotai/kimi-k2.5,bdikit_context,gender,Gender,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,3,0,0,0,0,0,moonshotai/kimi-k2.5 | bdikit_context,frontier
0ba7ba21,dou_harmonization_bdikit-tools_kimi-k2.5,moonshotai/kimi-k2.5,bdikit_context,tumor_focality,Tumor_Focality,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,3,0,0,0,0,0,moonshotai/kimi-k2.5 | bdikit_context,frontier
0ba7ba21,dou_harmonization_bdikit-tools_kimi-k2.5,moonshotai/kimi-k2.5,bdikit_context,tumor_largest_dimension_diameter,Tumor_Size_cm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,4,0,0,0,0,0,moonshotai/kimi-k2.5 | bdikit_context,frontier
58fa9479,dou_harmonization_code-context_gemini-3-flash-preview,google/gemini-3-flash-preview,code_context,country_of_birth,Country,0.7403846153846154,0.8,0.6137931034482758,0.6258064516129032,0.7352941176470589,0.75,0.75,0.75,0.25961538461538464,0.0,27,0,2,0,0,0,0,0,google/gemini-3-flash-preview | code_context,frontier
58fa9479,dou_harmonization_code-context_gemini-3-flash-preview,google/gemini-3-flash-preview,code_context,tumor_grade,Histologic_Grade_FIGO,0.17307692307692307,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18,86,0,0,0,86,google/gemini-3-flash-preview | code_context,frontier
58fa9479,dou_harmonization_code-context_gemini-3-flash-preview,google/gemini-3-flash-preview,code_context,primary_diagnosis,Histologic_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,104,0,0,0,104,google/gemini-3-flash-preview | code_context,frontier
58fa9479,dou_harmonization_code-context_gemini-3-flash-preview,google/gemini-3-flash-preview,code_context,figo_stage,FIGO_stage,0.028846153846153848,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,101,0,0,0,101,google/gemini-3-flash-preview | code_context,frontier
58fa9479,dou_harmonization_code-context_gemini-3-flash-preview,google/gemini-3-flash-preview,code_context,bmi,BMI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,3,0,0,0,0,0,google/gemini-3-flash-preview | code_context,frontier
58fa9479,dou_harmonization_code-context_gemini-3-flash-preview,google/gemini-3-flash-preview,code_context,age_at_index,Age,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,3,0,0,0,0,0,google/gemini-3-flash-preview | code_context,frontier
58fa9479,dou_harmonization_code-context_gemini-3-flash-preview,google/gemini-3-flash-preview,code_context,race,Race,0.9807692307692307,0.5714285714285714,0.5689655172413793,0.5701863354037268,0.9682539682539683,0.5,0.4971264367816092,0.4985507246376812,0.0,0.0,0,0,41,2,0,1,1,0,google/gemini-3-flash-preview | code_context,frontier
58fa9479,dou_harmonization_code-context_gemini-3-flash-preview,google/gemini-3-flash-preview,code_context,ethnicity,Ethnicity,0.4326923076923077,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.06349206349206349,0.2,0.2,0.2,0.0,0.0,0,0,41,59,0,18,0,41,google/gemini-3-flash-preview | code_context,frontier
58fa9479,dou_harmonization_code-context_gemini-3-flash-preview,google/gemini-3-flash-preview,code_context,gender,Gender,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,3,0,0,0,0,0,google/gemini-3-flash-preview | code_context,frontier
58fa9479,dou_harmonization_code-context_gemini-3-flash-preview,google/gemini-3-flash-preview,code_context,tumor_focality,Tumor_Focality,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,3,0,0,0,0,0,google/gemini-3-flash-preview | code_context,frontier
58fa9479,dou_harmonization_code-context_gemini-3-flash-preview,google/gemini-3-flash-preview,code_context,tumor_largest_dimension_diameter,Tumor_Size_cm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,4,0,0,0,0,0,google/gemini-3-flash-preview | code_context,frontier
8f25137b,dou_harmonization_code-context_kimi-k2.5,moonshotai/kimi-k2.5,code_context,country_of_birth,Country,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,29,0,0,0,0,0,moonshotai/kimi-k2.5 | code_context,frontier
8f25137b,dou_harmonization_code-context_kimi-k2.5,moonshotai/kimi-k2.5,code_context,tumor_grade,Histologic_Grade_FIGO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,18,0,0,0,0,0,moonshotai/kimi-k2.5 | code_context,frontier
8f25137b,dou_harmonization_code-context_kimi-k2.5,moonshotai/kimi-k2.5,code_context,primary_diagnosis,Histologic_type,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,moonshotai/kimi-k2.5 | code_context,frontier
8f25137b,dou_harmonization_code-context_kimi-k2.5,moonshotai/kimi-k2.5,code_context,figo_stage,FIGO_stage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,3,0,0,0,0,0,moonshotai/kimi-k2.5 | code_context,frontier
8f25137b,dou_harmonization_code-context_kimi-k2.5,moonshotai/kimi-k2.5,code_context,bmi,BMI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,3,0,0,0,0,0,moonshotai/kimi-k2.5 | code_context,frontier
8f25137b,dou_harmonization_code-context_kimi-k2.5,moonshotai/kimi-k2.5,code_context,age_at_index,Age,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,3,0,0,0,0,0,moonshotai/kimi-k2.5 | code_context,frontier
8f25137b,dou_harmonization_code-context_kimi-k2.5,moonshotai/kimi-k2.5,code_context,race,Race,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,41,0,0,0,0,0,moonshotai/kimi-k2.5 | code_context,frontier
8f25137b,dou_harmonization_code-context_kimi-k2.5,moonshotai/kimi-k2.5,code_context,ethnicity,Ethnicity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,41,0,0,0,0,0,moonshotai/kimi-k2.5 | code_context,frontier
8f25137b,dou_harmonization_code-context_kimi-k2.5,moonshotai/kimi-k2.5,code_context,gender,Gender,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,3,0,0,0,0,0,moonshotai/kimi-k2.5 | code_context,frontier
8f25137b,dou_harmonization_code-context_kimi-k2.5,moonshotai/kimi-k2.5,code_context,tumor_focality,Tumor_Focality,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,3,0,0,0,0,0,moonshotai/kimi-k2.5 | code_context,frontier
8f25137b,dou_harmonization_code-context_kimi-k2.5,moonshotai/kimi-k2.5,code_context,tumor_largest_dimension_diameter,Tumor_Size_cm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,4,0,0,0,0,0,moonshotai/kimi-k2.5 | code_context,frontier
8620ee84,dou_harmonization_codeact_claude-sonnet-4.6,anthropic/claude-sonnet-4.6,codeact_context,country_of_birth,Country,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,29,0,0,0,0,0,anthropic/claude-sonnet-4.6 | codeact_context,frontier
8620ee84,dou_harmonization_codeact_claude-sonnet-4.6,anthropic/claude-sonnet-4.6,codeact_context,tumor_grade,Histologic_Grade_FIGO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,18,0,0,0,0,0,anthropic/claude-sonnet-4.6 | codeact_context,frontier
8620ee84,dou_harmonization_codeact_claude-sonnet-4.6,anthropic/claude-sonnet-4.6,codeact_context,primary_diagnosis,Histologic_type,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,anthropic/claude-sonnet-4.6 | codeact_context,frontier
8620ee84,dou_harmonization_codeact_claude-sonnet-4.6,anthropic/claude-sonnet-4.6,codeact_context,figo_stage,FIGO_stage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,3,0,0,0,0,0,anthropic/claude-sonnet-4.6 | codeact_context,frontier
8620ee84,dou_harmonization_codeact_claude-sonnet-4.6,anthropic/claude-sonnet-4.6,codeact_context,bmi,BMI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,3,0,0,0,0,0,anthropic/claude-sonnet-4.6 | codeact_context,frontier
8620ee84,dou_harmonization_codeact_claude-sonnet-4.6,anthropic/claude-sonnet-4.6,codeact_context,age_at_index,Age,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,3,0,0,0,0,0,anthropic/claude-sonnet-4.6 | codeact_context,frontier
